VGS_H	VGS_L	VDS_H	VDS_L	ID_H	ID_L	L_d_int	L_s_int	L_g_int	L_d_pin	L_s_pin	L_g_pin	L_dH_ext	L_sH_ext	L_gH_ext	L_dL_ext	L_sL_ext	L_gL_ext	L_Hwire	L_Lwire
2,338755000	1,453654600	13,930385000	28,307122000	1,508077100	2,508981900	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	3,20e-08
2,257516000	1,516397400	13,819398000	27,480223000	1,491328300	2,521967900	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	1,43e-08	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	5,43e-09
2,355592800	1,474502300	13,825444000	27,899233000	1,495977800	2,513076800	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	1,43e-08	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	1,00e-09	2,50e-09
2,172876500	1,504674200	13,811113000	27,480364000	1,494462900	2,522496000	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,342426200	1,447127300	13,912694000	28,279934000	1,510155600	2,510024900	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	1,87e-08
2,618772000	1,267814300	16,996849000	29,583208000	1,611848200	2,208074400	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	5,43e-09	1,00e-09	5,43e-09	1,43e-08
2,655518000	1,364276800	14,540127000	29,683496000	1,623489600	2,534081800	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	9,86e-09	6,00e-09	1,20e-08	5,43e-09	1,43e-08
2,591380600	1,372508900	14,295667000	29,193464000	1,581936900	2,523174800	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	9,86e-09	6,00e-09	1,20e-08	5,43e-09	1,43e-08
2,616315200	1,265591400	16,988377000	29,618326000	1,600939700	2,197190200	5,43e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	5,43e-09	1,00e-09	5,43e-09	1,43e-08
2,698948500	1,344729400	15,533309000	29,334198000	1,655058300	2,551371000	5,43e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	1,00e-09	2,50e-09
2,679283300	1,357597500	14,726098000	29,646880000	1,638549000	2,542381800	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,87e-08	5,43e-09	1,20e-08	2,50e-09	1,43e-08
2,680019500	1,348981100	14,679773000	29,627927000	1,637628900	2,543451300	5,43e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	9,86e-09	6,00e-09	1,20e-08	1,00e-09	3,20e-08
2,621668100	1,266263900	17,654043000	29,495305000	1,575754300	2,161379100	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	2,50e-09
2,640424900	1,367072900	14,606745000	29,466213000	1,644137500	2,550107800	5,43e-10	5,43e-09	2,31e-08	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	1,20e-08	1,00e-09	1,43e-08	1,87e-08	1,00e-09	1,43e-08
2,418280000	1,413692900	14,867035000	28,242725000	1,553930000	2,536249600	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	1,43e-08	2,50e-09
2,160217100	1,555200800	14,564479000	26,782341000	1,594402600	2,591989800	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	3,20e-08	2,50e-09
2,630338900	1,253651200	17,381912000	29,646201000	1,611654700	2,244452500	6,80e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	1,00e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	2,50e-09
2,397810400	1,448232900	14,605694000	28,183951000	1,514784500	2,512270100	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	9,86e-09	6,00e-09	1,00e-09	1,43e-08	2,50e-09
2,735983000	1,269405000	34,651546000	36,640152000	2,466577200	1,949935500	9,86e-10	3,00e-09	8,76e-09	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	2,31e-08	5,43e-09	5,43e-09	1,00e-09	1,00e-09	2,31e-08
2,736262100	1,261795100	34,647989000	36,624317000	2,464084400	1,947555200	9,86e-10	3,00e-09	8,76e-09	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	2,31e-08	5,43e-09	5,43e-09	1,00e-09	1,00e-09	1,87e-08
2,628630000	1,372807600	15,027230000	29,028759000	1,588171300	2,523805600	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	9,86e-09	6,00e-09	1,00e-09	2,50e-09	1,43e-08
2,589759700	1,372641700	14,286320000	29,191716000	1,580080500	2,522270800	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	9,86e-09	6,00e-09	1,87e-08	5,43e-09	1,87e-08
2,486661200	1,409066500	14,115723000	28,864328000	1,548483300	2,516320800	9,86e-10	5,43e-09	2,31e-08	1,00e-09	5,43e-09	5,43e-09	5,43e-09	1,00e-09	1,20e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	1,87e-08
2,630232400	1,263257800	17,372439000	29,482235000	1,577050900	2,140763200	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	2,50e-09
2,687839400	1,352092100	14,567071000	29,697873000	1,621020700	2,533505500	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	9,86e-09	6,00e-09	1,20e-08	1,00e-09	1,87e-08
2,693495700	1,346250800	15,455265000	29,351756000	1,638165300	2,542168100	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	9,86e-09	5,43e-09	5,43e-09	5,43e-09	1,00e-09	1,00e-09	2,31e-08
2,656610100	1,360456800	14,677200000	29,622215000	1,641317600	2,544643100	5,43e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	9,86e-09	6,00e-09	1,20e-08	5,43e-09	1,43e-08
2,341816000	1,437441300	13,944565000	27,945971000	1,543986200	2,542529100	9,86e-10	5,43e-09	2,76e-08	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	2,31e-08	1,00e-09	1,43e-08	1,87e-08	1,00e-09	1,43e-08
2,293243200	1,452417700	14,192741000	28,032141000	1,506917700	2,512422800	3,20e-09	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	9,86e-09	5,43e-09	9,86e-09	6,00e-09	1,87e-08	2,31e-08	2,50e-09
2,595737900	1,296297200	16,862155000	29,381339000	1,594661000	2,102752900	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,43e-08	2,50e-09
2,384037900	1,427857700	14,640101000	28,184488000	1,510699800	2,512047400	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	9,86e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,618153800	1,278311400	17,110001000	29,429310000	1,582266500	2,120912300	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,20e-08	5,43e-09	2,50e-09
2,607958400	1,274339300	17,428282000	29,511893000	1,580294300	2,129272700	5,43e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,20e-08	5,43e-09	2,50e-09
2,615906300	1,292907200	16,973182000	29,411732000	1,590199200	2,111570700	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	1,10e-08	5,43e-09	1,00e-09	1,20e-08	1,00e-09	1,00e-09	1,87e-08	1,00e-09	2,50e-09
2,601740200	1,302811600	16,615510000	29,337429000	1,606883700	2,086514700	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,43e-08	2,50e-09
2,154180600	1,500205200	13,780335000	27,270214000	1,497437300	2,525058600	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,210473800	1,499209200	14,624240000	27,217782000	1,557384800	2,567295600	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,87e-08	1,87e-08	1,00e-09	1,87e-08	1,43e-08	2,50e-09
2,809145200	1,002047700	34,752675000	36,691656000	2,278517600	1,668318700	9,86e-10	3,00e-09	8,76e-09	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	5,43e-09	5,43e-09	5,43e-09	1,00e-09	1,00e-09	1,00e-09
2,391609200	1,427667300	14,078228000	28,399528000	1,553797900	2,535051400	9,86e-10	5,43e-09	2,31e-08	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	2,31e-08	1,00e-09	1,43e-08	1,87e-08	1,00e-09	1,43e-08
2,627445600	1,370588000	15,017973000	29,013188000	1,587530800	2,523825800	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	9,86e-09	6,00e-09	1,00e-09	2,50e-09	1,87e-08
2,293193700	1,452412000	13,857410000	28,115835000	1,506801300	2,512332400	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	5,43e-09	9,86e-09	6,00e-09	1,87e-08	2,31e-08	2,50e-09
2,654730000	1,363536300	14,540462000	29,683587000	1,622997600	2,533912900	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	9,86e-09	6,00e-09	1,20e-08	5,43e-09	1,87e-08
2,475226600	1,403283300	14,956988000	28,612154000	1,573721800	2,534214700	9,86e-10	5,43e-09	2,31e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	1,43e-08	2,50e-09
2,680599300	1,346849900	14,760233000	29,554224000	1,641591400	2,545837500	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	6,00e-09	1,87e-08	5,43e-09	1,20e-08	1,00e-09	1,87e-08
2,590034600	1,286383800	16,934397000	29,430367000	1,583836300	2,120332400	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,00e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,597313800	1,318014600	16,107143000	29,503781000	1,638449100	2,155123900	5,43e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	1,20e-08	1,00e-09	6,00e-09	1,20e-08	1,43e-08	2,50e-09
2,558716000	1,378732800	14,924164000	28,872583000	1,563706900	2,516376900	9,86e-10	5,43e-09	2,76e-08	5,43e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	1,20e-08	1,00e-09	6,00e-09	1,20e-08	1,00e-09	3,20e-08
2,418058400	1,410898200	13,983933000	28,524777000	1,524248500	2,512152000	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	1,00e-09	1,00e-09
1,981221600	1,739075700	14,589370000	26,042269000	1,631715000	2,609433400	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	3,20e-08	9,86e-09	6,00e-09	1,00e-09	1,43e-08	2,50e-09
2,667029300	1,352698400	14,610828000	29,470575000	1,645023200	2,550431400	5,43e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	1,87e-08	5,43e-09	1,20e-08	2,50e-09	1,43e-08
2,434969600	1,416738800	13,971455000	28,514776000	1,519441300	2,510642300	9,86e-10	5,43e-09	2,76e-08	1,00e-09	5,43e-09	5,43e-09	5,43e-09	1,00e-09	1,20e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	1,87e-08
2,565114900	1,383788400	14,936386000	28,866964000	1,569455100	2,519173600	9,86e-10	5,43e-09	2,76e-08	5,43e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	1,20e-08	1,00e-09	6,00e-09	1,20e-08	1,00e-09	2,50e-09
2,282630300	1,459064100	13,867713000	28,126895000	1,502877900	2,511104700	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	5,43e-09	9,86e-09	6,00e-09	6,00e-09	2,31e-08	3,20e-08
2,391707000	1,427666500	14,472744000	28,288558000	1,553909900	2,535134800	3,20e-09	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	9,86e-09	2,31e-08	1,00e-09	1,43e-08	1,87e-08	1,00e-09	1,43e-08
2,263249000	1,548056900	13,661123000	29,991730000	1,408622000	2,419559500	5,43e-10	5,43e-09	2,76e-08	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	3,20e-08	2,50e-09
2,670154900	1,356696900	15,532600000	29,323017000	1,654639300	2,552168900	5,43e-10	5,43e-09	2,31e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	5,43e-09	1,87e-08
2,804119900	1,002026700	34,747257000	36,691059000	2,284220900	1,676162000	9,86e-10	3,00e-09	8,76e-09	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	9,86e-09	1,00e-09	1,87e-08	1,00e-09	2,50e-09
2,715022400	1,082635900	35,504908000	35,542066000	2,371145100	1,830244000	9,86e-10	3,00e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	2,50e-09
2,507722400	1,394488400	14,848247000	28,712252000	1,547610200	2,515680300	9,86e-10	5,43e-09	2,76e-08	5,43e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	1,43e-08	1,00e-09	6,00e-09	1,20e-08	1,00e-09	3,20e-08
2,612868000	1,273199400	16,815142000	29,629000000	1,610390100	2,198202300	5,43e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	1,20e-08	1,00e-09	6,00e-09	1,20e-08	1,00e-09	2,50e-09
1,952575600	1,730702300	14,643272000	26,040298000	1,633397800	2,616443900	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	3,20e-08	9,86e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,628434800	1,261162600	17,409270000	29,462326000	1,578653300	2,141910400	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	1,43e-08
2,778222400	1,059662200	34,701564000	36,338479000	2,325307900	1,733024000	9,86e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,25e-08	6,00e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08
2,352068800	1,517810900	13,666667000	30,079422000	1,417819100	2,426181800	5,43e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	9,86e-09	1,87e-08	1,87e-08	1,00e-09	1,87e-08	1,43e-08	2,50e-09
2,162208500	1,554210800	14,560188000	26,782801000	1,594534900	2,591751400	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	3,20e-08	1,00e-09
2,596113300	1,292188000	17,551834000	29,337109000	1,609129900	2,172901600	5,43e-10	5,43e-09	2,31e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,43e-08	2,50e-09
2,296729200	1,482579400	13,858081000	27,572902000	1,576003800	2,572494700	5,43e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	1,87e-08	9,86e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,677177200	1,349077600	15,429830000	29,285031000	1,629884100	2,539102300	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	1,00e-09	1,87e-08
2,600637200	1,423310100	13,678921000	30,445469000	1,515273200	2,479506100	5,43e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	1,43e-08	2,50e-09
2,715080700	1,093005400	35,505565000	35,543649000	2,371069900	1,830810200	9,86e-10	3,00e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	1,87e-08
2,445637900	1,418659100	14,067267000	28,310285000	1,573689900	2,550765500	5,43e-10	5,43e-09	2,76e-08	1,00e-09	5,43e-09	5,43e-09	5,43e-09	1,00e-09	1,20e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	1,87e-08
2,191818000	1,523912800	14,601042000	26,987591000	1,572639700	2,576715800	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	1,87e-08	1,87e-08	1,00e-09	1,87e-08	1,43e-08	2,50e-09
2,759820700	1,114569300	35,805329000	36,605464000	2,388023400	1,703299100	3,80e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08
2,601776400	1,303058600	16,606847000	29,326214000	1,606377600	2,085702200	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,20e-08	1,43e-08	2,50e-09
2,283097500	1,458427600	14,206072000	28,040348000	1,503190000	2,511239000	3,20e-09	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	9,86e-09	5,43e-09	9,86e-09	6,00e-09	1,87e-08	2,31e-08	1,87e-08
2,296966900	1,468706200	13,873918000	27,530995000	1,572869500	2,572975800	5,43e-10	5,43e-09	2,76e-08	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	9,86e-09	6,00e-09	1,87e-08	2,31e-08	2,50e-09
2,278178200	1,462640900	14,241622000	28,045093000	1,502678400	2,511967200	3,20e-09	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	9,86e-09	5,43e-09	9,86e-09	6,00e-09	1,87e-08	2,31e-08	2,31e-08
2,628127600	1,263197300	17,394157000	29,472619000	1,576499800	2,139587100	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,20e-08	1,00e-09	2,50e-09
2,595906900	1,295272700	16,856672000	29,383476000	1,594371100	2,102005300	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,20e-08	1,43e-08	2,50e-09
2,763018700	1,258927100	34,782047000	36,036140000	2,420236500	1,915759900	3,80e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	1,20e-08	1,00e-09	6,00e-09	1,20e-08	1,43e-08	2,50e-09
1,986314400	1,682434600	14,474500000	26,360487000	1,578430900	2,575251600	9,86e-10	5,43e-09	2,31e-08	5,43e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	3,20e-08	9,86e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,766661400	1,101848000	34,636722000	36,418150000	2,400467100	1,849542400	9,86e-10	3,00e-09	1,87e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	9,86e-09	5,43e-09	5,43e-09	5,43e-09	1,00e-09	1,00e-09	2,31e-08
2,630969700	1,253212700	17,862694000	29,414819000	1,612674000	2,236265600	3,20e-09	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	2,50e-09
1,969087000	1,677567800	14,561971000	26,199384000	1,601966800	2,590904300	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	3,20e-08	9,86e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,618415300	1,275378400	17,114773000	29,434523000	1,583861900	2,122625900	9,86e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,20e-08	5,43e-09	1,87e-08
2,779762600	1,067411800	34,665346000	36,253192000	2,329436100	1,732042500	9,86e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,25e-08	6,00e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	2,50e-09
2,119933100	1,636039900	13,715459000	29,634159000	1,401159100	2,411467100	5,43e-10	5,43e-09	2,31e-08	1,00e-09	5,43e-09	3,00e-09	5,43e-09	1,00e-09	3,20e-08	1,87e-08	1,00e-09	5,43e-09	1,43e-08	2,50e-09
2,104232900	1,748146500	14,187505000	26,132939000	1,688119900	2,654577200	3,20e-09	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	9,86e-09	2,31e-08	1,00e-09	1,43e-08	1,87e-08	2,76e-08	1,43e-08
2,716061600	1,079629300	35,502230000	35,539797000	2,372015500	1,829901000	9,86e-10	3,00e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,20e-08	1,00e-09	2,50e-09
2,423255400	1,417987100	14,868459000	28,264052000	1,554844400	2,536099800	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,20e-08	1,43e-08	2,50e-09
2,000914300	1,637795400	14,105277000	26,511648000	1,547030200	2,555802500	3,20e-09	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	9,86e-09	2,31e-08	9,86e-09	6,00e-09	1,87e-08	2,31e-08	2,50e-09
2,474428000	1,406421400	14,149045000	28,900180000	1,552630600	2,517781800	9,86e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	9,86e-09	5,43e-09	9,86e-09	6,00e-09	1,87e-08	1,43e-08	2,50e-09
2,447393700	1,199259400	36,271795000	33,921758000	2,571619300	2,297479400	9,86e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,25e-08	6,00e-09	1,87e-08	1,00e-09	1,87e-08	1,00e-09	1,87e-08
2,615819800	1,250115300	17,909468000	29,558331000	1,577053200	2,158344600	3,80e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	2,50e-09
2,755805700	1,202674400	35,063695000	36,158620000	2,402287900	1,840843400	3,80e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	6,00e-09	1,00e-09	1,43e-08	2,50e-09
2,650323600	1,360324500	15,229364000	29,089615000	1,612834600	2,535386000	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	6,00e-09	1,87e-08	1,00e-09	1,87e-08	1,00e-09	1,87e-08
2,788719900	1,074227000	35,537088000	36,892218000	2,430734000	1,666208700	9,86e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	5,43e-09	5,43e-09	5,43e-09	1,00e-09	1,00e-09	2,31e-08
2,260575200	1,717980200	13,847320000	26,503936000	1,546420400	2,558696500	9,86e-10	5,43e-09	2,31e-08	1,00e-09	5,43e-09	3,20e-08	5,43e-09	1,00e-09	1,20e-08	9,86e-09	6,00e-09	1,87e-08	5,43e-09	2,50e-09
1,939126700	1,771697200	14,655784000	26,032879000	1,636889700	2,619570000	9,86e-10	5,43e-09	2,76e-08	5,43e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	3,20e-08	9,86e-09	6,00e-09	1,87e-08	1,43e-08	1,43e-08
2,622227100	1,259733300	17,600627000	29,530534000	1,579011900	2,141346300	5,43e-10	5,43e-09	2,76e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	2,50e-09
2,400115400	1,425795900	14,456233000	28,290332000	1,555631700	2,535035700	3,20e-09	5,43e-09	2,31e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	9,86e-09	2,31e-08	1,00e-09	1,43e-08	1,00e-09	1,00e-09	1,87e-08
2,730586000	1,076731200	36,543886000	36,343621000	2,387323800	1,691429000	9,86e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	2,50e-09
2,779711200	1,065885700	34,661807000	36,247005000	2,332746200	1,736286500	9,86e-10	3,00e-09	9,86e-09	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,25e-08	6,00e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	1,43e-08
