VGS_H	VGS_L	VDS_H	VDS_L	ID_H	ID_L	L_d_int	L_s_int	L_g_int	L_d_pin	L_s_pin	L_g_pin	L_dH_ext	L_sH_ext	L_gH_ext	L_dL_ext	L_sL_ext	L_gL_ext	L_Hwire	L_Lwire
2,762187800	1,209375400	35,738204000	36,450944000	2,392226700	1,729896100	9,86e-10	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,10e-08	5,00e-09	5,43e-09	1,20e-08	1,00e-09	1,00e-09	1,20e-08	1,00e-09	5,43e-09
2,791689400	1,294586300	16,069609000	30,822509000	1,659357100	2,353454700	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,00e-09	1,00e-09	9,86e-09	5,43e-09	1,00e-09	1,00e-09	1,10e-08
2,662438500	1,250346300	18,503747000	29,489382000	1,606489800	2,108421800	1,00e-10	5,43e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09
1,658490300	1,986765100	16,717562000	27,109094000	1,514592100	2,518229800	1,00e-10	5,43e-09	1,87e-08	1,43e-08	1,00e-09	3,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	3,20e-08	2,31e-08
2,670342800	1,248480500	17,138253000	29,710836000	1,595154800	2,203309000	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	1,43e-08	1,00e-09	2,50e-09
2,728778600	1,079956800	36,325829000	35,477898000	2,432074000	1,836983900	3,80e-10	3,00e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,43e-08	1,00e-09	1,00e-09
2,418422900	1,180030300	36,541211000	35,153328000	2,327731700	2,183794200	3,80e-10	3,00e-09	1,00e-09	1,00e-09	1,00e-09	3,00e-09	5,00e-09	1,25e-08	1,00e-09	1,43e-08	6,00e-09	1,00e-09	1,00e-09	1,10e-08
2,698076900	1,342229200	14,558220000	29,418222000	1,638840600	2,548839100	5,43e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,00e-09	1,00e-09	1,00e-09	1,87e-08	6,00e-09	3,20e-08	1,00e-09	1,00e-09
2,017502100	1,640177400	15,725188000	28,926574000	1,388131800	2,425625700	3,80e-10	5,43e-09	1,43e-08	1,43e-08	1,00e-09	3,00e-09	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	1,87e-08	2,76e-08
2,790794000	1,007300800	34,679890000	36,466925000	2,324988400	1,737598400	9,86e-10	3,00e-09	1,87e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	1,00e-09	1,00e-09	5,43e-09
1,875940400	1,740965700	13,810993000	26,334268000	1,526464300	2,537533300	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	5,43e-09	5,43e-09	1,25e-08	3,20e-08	9,86e-09	6,00e-09	1,00e-09	1,10e-08	1,00e-09
2,798124200	1,023515800	36,033477000	37,157065000	2,368082500	1,585821300	9,86e-10	3,00e-09	1,00e-09	1,00e-09	1,00e-09	5,43e-09	5,00e-09	5,43e-09	1,00e-09	1,00e-09	6,00e-09	1,00e-09	1,00e-09	1,10e-08
2,906269200	1,571886000	14,070523000	29,825814000	1,882747200	2,224558600	1,00e-10	5,43e-09	1,87e-08	1,00e-09	1,00e-09	1,00e-09	5,00e-09	1,00e-09	3,20e-08	9,86e-09	5,43e-09	1,00e-09	3,20e-08	1,00e-09
2,771158500	1,163718500	35,888976000	36,589597000	2,380119900	1,703982600	1,00e-10	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,87e-08	1,00e-09
2,721449300	1,413906600	15,201573000	28,857513000	1,971234600	1,978651500	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,20e-08	5,00e-09	1,00e-09	3,20e-08	1,00e-09	1,00e-09	1,43e-08	1,00e-09	1,00e-09
2,645328000	1,353669900	16,727726000	29,383699000	1,774557200	1,971340300	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	3,20e-08	1,00e-09
2,269818500	1,260097500	36,761096000	36,269506000	2,166346600	2,108960500	1,00e-10	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	5,00e-09	5,43e-09	1,00e-09	2,31e-08	6,00e-09	1,43e-08	1,00e-09	1,00e-09
2,588657200	1,284472800	17,584652000	29,498743000	1,576867200	2,149780700	5,43e-10	5,43e-09	1,43e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,87e-08	1,00e-09
2,643939600	1,236435000	18,190494000	29,507121000	1,631587100	2,079907900	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,20e-08	1,00e-09	5,43e-09
2,095920000	1,574270300	13,571899000	28,408245000	1,401490500	2,444151600	5,43e-10	5,43e-09	1,87e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,25e-08	3,20e-08	9,86e-09	6,00e-09	1,00e-09	1,10e-08	5,43e-09
2,279906200	1,481132700	13,692515000	29,043329000	1,449930600	2,463229800	3,80e-10	5,43e-09	1,87e-08	1,00e-09	1,00e-09	3,00e-09	5,43e-09	1,25e-08	3,20e-08	9,86e-09	6,00e-09	1,43e-08	1,00e-09	2,76e-08
2,771570500	1,104926600	34,600937000	36,295784000	2,412539300	1,879225300	1,00e-10	3,00e-09	2,31e-08	1,00e-09	1,00e-09	5,43e-09	1,00e-09	1,00e-09	1,00e-09	1,87e-08	6,00e-09	3,20e-08	1,00e-09	1,00e-09
2,646037200	1,324646500	17,224385000	29,408217000	1,694949200	1,999877900	1,00e-10	5,43e-09	1,87e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	3,20e-08	1,00e-09
2,796881600	1,284362300	16,203485000	30,692991000	1,656671500	2,362259400	3,80e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,87e-08	1,00e-09	1,43e-08	1,00e-09	1,00e-09
2,598676200	1,282423100	18,170664000	29,426737000	1,620084000	2,090191100	5,43e-10	5,43e-09	1,43e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,43e-08	1,87e-08	5,43e-09
2,131643300	1,523625800	14,463057000	27,691941000	1,428735000	2,477382000	1,87e-09	5,43e-09	2,76e-08	5,43e-09	1,00e-09	3,00e-09	5,00e-09	1,00e-09	3,20e-08	9,86e-09	5,43e-09	1,43e-08	1,00e-09	2,76e-08
2,613096500	1,299842800	16,571806000	29,424528000	1,635379100	2,073155400	1,00e-10	5,43e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,87e-08	1,00e-09
2,718878300	1,217912000	34,905621000	35,307963000	2,450166900	2,009147200	3,80e-10	3,00e-09	3,20e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,87e-08	1,00e-09
2,602057600	1,279584900	18,192895000	29,426857000	1,618690100	2,088843800	5,43e-10	5,43e-09	1,43e-08	1,00e-09	1,00e-09	3,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,00e-09	1,43e-08	1,87e-08	1,00e-09
2,261575500	1,291440000	38,315613000	35,831959000	2,169236800	2,114629100	3,80e-10	3,00e-09	1,00e-09	1,43e-08	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	5,43e-09	3,20e-08	1,00e-09	1,00e-09
2,737349100	1,211916500	34,382374000	35,613360000	2,424451900	2,033031800	1,00e-10	3,00e-09	3,20e-08	1,00e-09	1,00e-09	1,00e-09	5,00e-09	1,00e-09	1,00e-09	1,00e-09	6,00e-09	3,20e-08	1,87e-08	5,43e-09
